MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,ExterQual,ExterCond,Foundation,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,Heating,HeatingQC,CentralAir,GrLivArea,BsmtFullBath,BsmtHalfBath,TotalFullBath,TotalHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,YrSold,SaleCondition,SalePrice
20,FV,84,11096,Reg,Somerst,1Fam,1Story,8,5,2006,2006,VinylSd,Gd,TA,PConc,GLQ,24,1656,GasA,Ex,Y,1656,0,0,2,0,2,0,3,1,Gd,7,0,3,Y,2007,Normal,249700
190,RM,33,4456,Reg,OldTown,2fmCon,2Story,4,5,1920,2008,MetalSd,TA,TA,BrkTil,Unf,0,736,GasA,Gd,Y,1452,0,0,2,0,2,0,2,3,TA,8,0,0,N,2009,Partial,113000
20,RL,66,7742,Reg,Sawyer,1Fam,1Story,5,7,1966,1966,HdBoard,TA,TA,CBlock,BLQ,763,955,GasA,Ex,Y,955,1,0,2,0,1,0,3,1,TA,6,0,1,Y,2007,Normal,127000
60,RL,NA,13869,IR2,Gilbert,1Fam,2Story,6,6,1997,1997,VinylSd,TA,TA,PConc,GLQ,182,794,GasA,Gd,Y,1470,0,1,2,1,2,0,3,1,TA,6,0,2,Y,2007,Normal,177000
50,RM,52,6240,Reg,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Wd Sdng,TA,TA,PConc,Unf,0,816,GasA,TA,Y,1176,0,0,1,0,1,0,3,1,TA,6,1,2,Y,2006,Normal,114500
90,RM,110,8472,IR2,IDOTRR,Duplex,1Story,5,5,1963,1963,Wd Sdng,Fa,TA,CBlock,LwQ,104,816,GasA,TA,N,816,1,0,2,0,1,0,2,1,TA,5,0,2,Y,2010,Normal,110000
20,RL,68,50271,IR1,Veenker,1Fam,1Story,9,5,1981,1987,WdShing,Gd,TA,CBlock,GLQ,1810,1842,GasA,Gd,Y,1842,2,0,2,1,0,1,0,1,Gd,5,1,3,Y,2006,Normal,385000
80,RL,60,7134,Reg,NAmes,1Fam,SLvl,5,5,1955,1955,MetalSd,TA,TA,CBlock,ALQ,384,384,GasA,TA,Y,1360,0,0,1,0,1,0,3,1,TA,6,1,2,Y,2007,Normal,130000
20,RL,100,10175,IR1,NAmes,1Fam,1Story,6,5,1964,1964,HdBoard,TA,TA,CBlock,BLQ,490,1425,GasA,Gd,Y,1425,0,0,2,0,2,0,3,1,TA,7,1,2,Y,2008,Normal,180500
160,FV,24,2645,Reg,Somerst,Twnhs,2Story,8,5,1999,2000,MetalSd,Gd,TA,PConc,GLQ,649,970,GasA,Ex,Y,1739,1,0,3,1,2,1,3,1,Gd,7,0,2,Y,2009,Abnorml,172500
60,RL,89,11645,IR1,CollgCr,1Fam,2Story,7,5,2004,2004,VinylSd,Gd,TA,PConc,Unf,0,860,GasA,Ex,Y,1720,0,0,2,1,2,1,3,1,Gd,7,0,2,Y,2006,Normal,196500
60,RL,66,13682,IR2,StoneBr,1Fam,2Story,10,5,2006,2006,VinylSd,Ex,TA,PConc,Unf,0,1410,GasA,Ex,Y,2945,0,0,3,1,3,1,3,1,Gd,10,1,3,Y,2006,Partial,438780
20,RL,60,7200,Reg,CollgCr,1Fam,1Story,5,7,1972,1972,HdBoard,TA,TA,CBlock,ALQ,632,780,GasA,Ex,Y,780,0,0,1,0,1,0,2,1,TA,4,0,1,Y,2008,Normal,124900
20,RL,63,13072,Reg,SawyerW,1Fam,1Story,6,5,2004,2004,VinylSd,TA,TA,PConc,ALQ,941,1158,GasA,Ex,Y,1158,1,0,2,1,1,1,3,1,Gd,5,0,2,Y,2006,Partial,158000
75,RM,60,7200,Reg,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,MetalSd,TA,TA,BrkTil,Unf,0,530,GasA,TA,N,1111,0,0,1,0,1,0,3,1,Fa,6,0,1,N,2007,Normal,101000
120,RL,44,6442,IR1,NridgHt,TwnhsE,1Story,8,5,2006,2006,VinylSd,Gd,TA,PConc,GLQ,24,1370,GasA,Ex,Y,1370,0,0,2,0,2,0,2,1,Gd,6,1,2,Y,2007,Normal,202500
70,RM,50,10300,IR1,OldTown,1Fam,2Story,7,6,1921,1950,Stucco,TA,TA,BrkTil,Unf,0,576,GasA,Gd,Y,1710,0,0,2,0,2,0,3,1,TA,9,0,2,Y,2010,Normal,140000
60,RL,NA,9375,Reg,CollgCr,1Fam,2Story,7,5,1997,1998,VinylSd,TA,TA,PConc,GLQ,739,1057,GasA,Ex,Y,2034,1,0,3,1,2,1,3,1,Gd,8,0,2,Y,2009,Normal,219500
60,RL,76,9591,Reg,NridgHt,1Fam,2Story,8,5,2004,2005,VinylSd,Gd,TA,PConc,Unf,0,1143,GasA,Ex,Y,2473,0,0,2,1,2,1,4,1,Gd,9,1,3,Y,2007,Normal,317000
20,RL,NA,19900,Reg,NAmes,1Fam,1Story,7,5,1970,1989,Plywood,TA,TA,CBlock,GLQ,912,1947,GasA,TA,Y,2207,1,0,3,0,2,0,3,1,TA,7,1,2,Y,2010,Normal,180000
20,RL,72,10665,IR1,CollgCr,1Fam,1Story,7,5,2003,2003,VinylSd,Gd,TA,PConc,GLQ,1013,1453,GasA,Ex,Y,1479,1,0,3,0,2,0,3,1,Gd,7,0,2,Y,2007,Normal,226000
30,RM,47,4608,Reg,OldTown,1Fam,1Story,4,6,1945,1950,MetalSd,TA,Gd,CBlock,Unf,0,747,GasA,TA,Y,747,0,0,1,0,1,0,2,1,TA,4,0,1,Y,2010,Normal,80000
50,RL,81,15593,Reg,ClearCr,1Fam,1.5Fin,7,4,1953,1953,BrkFace,Gd,TA,CBlock,BLQ,603,1304,GasW,TA,Y,2287,0,0,2,0,2,0,3,1,TA,7,1,2,Y,2006,Normal,225000
20,RL,95,13651,IR1,NAmes,1Fam,1Story,7,6,1973,1973,Plywood,TA,Gd,CBlock,ALQ,1880,2223,GasA,Ex,Y,2223,1,0,3,0,2,0,3,1,TA,8,2,2,Y,2007,Normal,244000
20,RL,69,7599,Reg,Mitchel,1Fam,1Story,4,6,1982,2006,HdBoard,TA,TA,CBlock,ALQ,565,845,GasA,TA,Y,845,1,0,2,0,1,0,2,1,TA,4,0,2,Y,2007,Normal,129500
60,RL,74,10141,IR1,Gilbert,1Fam,2Story,7,5,1998,1998,VinylSd,TA,TA,PConc,Unf,0,832,GasA,Gd,Y,1718,0,0,2,1,2,1,3,1,TA,7,1,2,Y,2009,Normal,185000
20,RL,85,10200,Reg,NAmes,1Fam,1Story,5,7,1954,2003,Wd Sdng,TA,TA,CBlock,ALQ,320,1086,GasA,Gd,Y,1086,1,0,2,0,1,0,3,1,TA,6,0,2,Y,2010,Normal,144900
50,RM,60,5790,Reg,OldTown,1Fam,2Story,3,6,1915,1950,VinylSd,Gd,Gd,CBlock,Unf,0,840,GasA,Gd,N,1605,0,0,2,0,2,0,3,2,TA,8,0,1,Y,2010,Normal,107400
180,RM,21,1596,Reg,MeadowV,Twnhs,SLvl,4,5,1973,1973,CemntBd,TA,TA,CBlock,GLQ,462,462,GasA,TA,Y,988,1,0,2,0,1,0,2,1,TA,5,0,1,Y,2009,Normal,91000
20,RL,NA,8475,IR1,NAmes,1Fam,1Story,4,7,1956,1956,VinylSd,TA,TA,CBlock,ALQ,228,952,GasA,Ex,Y,952,0,0,1,0,1,0,2,1,TA,4,0,1,Y,2008,Normal,135750
50,RM,50,8635,Reg,BrkSide,1Fam,1.5Fin,5,5,1948,2001,Wd Sdng,TA,TA,CBlock,BLQ,336,672,GasA,TA,Y,1285,1,0,2,0,1,0,2,1,TA,6,0,1,Y,2008,Normal,127000
90,RL,72,10778,Reg,Sawyer,Duplex,1Story,4,5,1968,1968,HdBoard,TA,TA,CBlock,Unf,0,1768,GasA,TA,N,1768,0,0,2,0,2,0,4,2,TA,8,0,0,Y,2010,Normal,136500
50,RM,60,10440,Reg,OldTown,1Fam,2Story,5,6,1910,1981,Wd Sdng,TA,TA,PConc,Unf,0,440,GasA,Gd,Y,1230,0,0,1,1,1,1,2,1,TA,5,0,2,Y,2009,Normal,110000
60,RL,100,13000,Reg,NAmes,1Fam,2Story,6,6,1968,1968,VinylSd,TA,Gd,CBlock,Rec,448,896,GasA,TA,Y,2142,0,0,2,1,2,1,4,1,Gd,8,1,1,Y,2009,Normal,193500
120,RM,32,4500,Reg,Mitchel,TwnhsE,1Story,6,5,1998,1998,VinylSd,TA,Gd,PConc,GLQ,1201,1237,GasA,Ex,Y,1337,1,0,3,0,2,0,2,1,TA,5,0,2,Y,2006,Normal,153500
20,RL,78,10206,Reg,Somerst,1Fam,1Story,8,5,2007,2007,VinylSd,TA,TA,PConc,GLQ,33,1563,GasA,Ex,Y,1563,0,0,2,0,2,0,3,1,Gd,6,1,3,Y,2008,Normal,245000
20,RL,80,8892,IR1,NAmes,1Fam,1Story,5,5,1960,1960,MetalSd,TA,TA,CBlock,Unf,0,1065,GasA,Gd,Y,1065,0,0,1,1,1,1,3,1,TA,6,0,2,Y,2007,Normal,126500
80,RL,NA,8530,IR1,Gilbert,1Fam,SLvl,7,5,1995,1996,HdBoard,TA,TA,PConc,Unf,0,384,GasA,Gd,Y,1474,0,0,2,1,2,1,3,1,TA,7,1,2,Y,2009,Normal,168500
60,RL,121,16059,Reg,NoRidge,1Fam,2Story,8,5,1991,1992,HdBoard,Gd,TA,CBlock,Unf,0,1288,GasA,Ex,Y,2417,0,0,2,1,2,1,4,1,Gd,9,1,2,Y,2006,Normal,260000
60,RL,122,11911,IR2,Gilbert,1Fam,2Story,6,5,2005,2005,VinylSd,Gd,TA,PConc,Unf,0,684,GasA,Ex,Y,1560,0,0,2,1,2,1,3,1,Gd,6,1,2,Y,2009,Normal,174000
160,FV,40,3951,Reg,Somerst,TwnhsE,2Story,6,5,2009,2009,VinylSd,Gd,TA,PConc,Unf,0,612,GasA,Ex,Y,1224,0,0,2,1,2,1,2,1,Gd,4,0,2,Y,2009,Partial,164500
50,C (all),105,8470,IR1,IDOTRR,1Fam,1.5Fin,3,2,1915,1982,Plywood,Fa,Fa,CBlock,Unf,0,1013,GasA,TA,N,1526,0,0,1,0,1,0,2,1,Fa,6,0,0,N,2009,Abnorml,85000
20,RL,60,8070,Reg,CollgCr,1Fam,1Story,4,5,1994,1995,VinylSd,TA,TA,PConc,GLQ,588,990,GasA,Ex,Y,990,1,0,2,0,1,0,3,1,TA,5,0,0,Y,2007,Normal,123600
20,RL,60,7200,Reg,NAmes,1Fam,1Story,4,5,1950,1950,BrkFace,TA,TA,Slab,NA,0,0,GasA,TA,Y,1040,0,0,1,0,1,0,2,1,TA,4,0,2,Y,2006,Normal,109900
20,RL,85,8500,Reg,NAmes,1Fam,1Story,5,3,1961,1961,HdBoard,TA,TA,CBlock,Rec,600,1235,GasA,TA,Y,1235,0,0,1,0,1,0,2,1,TA,6,0,2,Y,2006,Abnorml,98600
30,RL,80,13360,IR1,Crawfor,1Fam,1Story,5,7,1921,2006,Wd Sdng,TA,Gd,BrkTil,ALQ,713,876,GasA,Ex,Y,964,1,0,2,0,1,0,2,1,TA,5,0,2,Y,2009,Normal,163500
190,C (all),60,7200,Reg,OldTown,2fmCon,2.5Unf,6,6,1910,1998,MetalSd,TA,TA,BrkTil,Rec,1046,1214,GasW,Ex,N,2291,0,1,2,1,2,0,4,2,TA,9,1,2,Y,2007,Normal,133900
60,RL,69,9337,IR1,CollgCr,1Fam,2Story,6,5,1997,1997,VinylSd,TA,Gd,PConc,GLQ,648,824,GasA,Ex,Y,1786,1,0,3,1,2,1,3,1,Gd,7,0,2,Y,2007,Normal,204750
60,RL,NA,9765,IR2,Gilbert,1Fam,2Story,6,8,1993,1993,VinylSd,Ex,Gd,PConc,ALQ,310,680,GasA,Gd,Y,1470,0,0,2,1,2,1,3,1,TA,6,1,2,Y,2009,Normal,185000
20,RL,78,10264,IR1,CollgCr,1Fam,1Story,7,5,1999,1999,VinylSd,Gd,TA,PConc,ALQ,1162,1588,GasA,Ex,Y,1588,0,0,2,0,2,0,3,1,Gd,6,0,2,Y,2006,Normal,214000
20,RL,73,10921,Reg,Edwards,1Fam,1Story,4,5,1965,1965,HdBoard,TA,TA,CBlock,Rec,520,960,GasA,TA,Y,960,1,0,2,0,1,0,3,1,TA,6,0,1,P,2007,Normal,94750
30,RL,85,10625,Reg,Edwards,1Fam,1Story,5,5,1920,1950,Wd Sdng,TA,TA,BrkTil,ALQ,108,458,GasA,Fa,N,835,0,0,1,0,1,0,2,1,TA,5,0,1,Y,2010,Abnorml,83000
20,RL,77,9320,IR1,NAmes,1Fam,1Story,4,5,1959,1959,Plywood,TA,TA,CBlock,ALQ,569,950,GasA,Fa,Y,1225,1,0,2,1,1,1,3,1,TA,6,0,0,Y,2010,Normal,128950
20,RL,NA,10603,IR1,NWAmes,1Fam,1Story,6,7,1977,2001,Plywood,TA,TA,PConc,ALQ,1200,1610,GasA,Gd,Y,1610,1,0,3,0,2,0,3,1,Gd,6,2,2,Y,2010,Normal,205000
60,RL,77,9206,Reg,SawyerW,1Fam,2Story,6,5,1985,1985,HdBoard,Gd,TA,CBlock,Unf,0,741,GasA,TA,Y,1732,0,0,2,1,2,1,3,1,Gd,7,1,2,Y,2010,Normal,178000
90,RL,64,7018,Reg,SawyerW,Duplex,1Story,5,5,1979,1979,HdBoard,TA,Fa,Slab,NA,0,0,GasA,TA,Y,1535,0,0,2,0,2,0,4,2,TA,8,0,2,Y,2009,Alloca,118964
20,RL,94,10402,IR1,CollgCr,1Fam,1Story,7,5,2009,2009,VinylSd,TA,TA,PConc,Unf,0,1226,GasA,Ex,Y,1226,0,0,2,0,2,0,3,1,Gd,6,0,3,Y,2010,Normal,198900
50,RM,NA,7758,Reg,IDOTRR,1Fam,1.5Fin,7,4,1931,1950,Stucco,TA,Fa,PConc,LwQ,224,1040,GasA,Ex,Y,1818,0,0,1,1,1,1,4,1,TA,7,2,1,Y,2007,Normal,169500
60,FV,75,9375,Reg,Somerst,1Fam,2Story,8,5,2003,2004,VinylSd,Gd,TA,PConc,Unf,0,1053,GasA,Ex,Y,1992,0,0,2,1,2,1,3,1,Gd,9,1,2,Y,2008,Normal,250000
30,RM,60,10800,Reg,OldTown,1Fam,1Story,4,7,1885,1995,VinylSd,TA,TA,BrkTil,Unf,0,641,GasA,Gd,Y,1047,0,0,1,0,1,0,2,1,TA,6,0,1,N,2007,Normal,100000
20,RM,50,6000,Reg,OldTown,1Fam,1Story,5,5,1948,1950,VinylSd,TA,TA,CBlock,ALQ,104,789,GasA,Ex,Y,789,0,0,1,0,1,0,2,1,TA,5,0,1,Y,2008,Partial,115000
50,RM,85,8500,Reg,IDOTRR,1Fam,1.5Fin,5,7,1919,2005,CemntBd,TA,TA,CBlock,Unf,0,793,GasW,TA,N,1517,0,0,2,0,2,0,3,1,Fa,7,0,0,N,2007,Normal,115000
20,RL,105,11751,IR1,NWAmes,1Fam,1Story,6,6,1977,1977,Plywood,TA,TA,CBlock,BLQ,705,1844,GasA,Ex,Y,1844,0,0,2,0,2,0,3,1,TA,7,1,2,Y,2010,Normal,190000
50,RL,75,9525,Reg,Edwards,1Fam,1.5Fin,6,4,1954,1972,Wd Sdng,TA,TA,CBlock,Rec,444,994,GasA,Gd,Y,1855,0,0,2,0,2,0,4,1,TA,7,0,1,Y,2006,Normal,136900
80,RL,NA,7750,IR1,Gilbert,1Fam,SLvl,7,5,2000,2000,VinylSd,TA,TA,PConc,GLQ,250,384,GasA,Ex,Y,1430,0,0,2,1,2,1,3,1,TA,7,1,2,Y,2010,Normal,180000
60,RL,77,9965,Reg,CollgCr,1Fam,2Story,7,5,2007,2007,VinylSd,Gd,TA,PConc,GLQ,984,1264,GasA,Ex,Y,2696,1,0,3,1,2,1,4,1,Ex,10,1,3,Y,2007,Partial,383970
